Annee;Culture;Element;Unite;Valeur;Description
1961;Banane_plantain;Production;tonnes;500000;Chiffre officiel
1962;Banane_plantain;Production;tonnes;570000;Chiffre officiel
1963;Banane_plantain;Production;tonnes;550000;Chiffre officiel
1964;Banane_plantain;Production;tonnes;580000;Chiffre officiel
1965;Banane_plantain;Production;tonnes;600000;Chiffre officiel
1966;Banane_plantain;Production;tonnes;615000;Chiffre officiel
1967;Banane_plantain;Production;tonnes;620000;Chiffre officiel
1968;Banane_plantain;Production;tonnes;625000;Chiffre officiel
1969;Banane_plantain;Production;tonnes;638000;Chiffre officiel
1970;Banane_plantain;Production;tonnes;650000;Chiffre officiel
1971;Banane_plantain;Production;tonnes;670000;Chiffre officiel
1972;Banane_plantain;Production;tonnes;690000;Chiffre officiel
1973;Banane_plantain;Production;tonnes;660000;Chiffre officiel
1974;Banane_plantain;Production;tonnes;720000;Chiffre officiel
1975;Banane_plantain;Production;tonnes;1168000;Chiffre officiel
1976;Banane_plantain;Production;tonnes;1118000;Chiffre officiel
1977;Banane_plantain;Production;tonnes;1058000;Chiffre officiel
1978;Banane_plantain;Production;tonnes;1123000;Chiffre officiel
1979;Banane_plantain;Production;tonnes;1178000;Chiffre officiel
1980;Banane_plantain;Production;tonnes;910000;Chiffre officiel
1981;Banane_plantain;Production;tonnes;950000;Chiffre officiel
1982;Banane_plantain;Production;tonnes;980000;Chiffre officiel
1983;Banane_plantain;Production;tonnes;855000;Chiffre officiel
1984;Banane_plantain;Production;tonnes;1000000;Chiffre officiel
1985;Banane_plantain;Production;tonnes;1000000;Chiffre officiel
1986;Banane_plantain;Production;tonnes;1010000;Chiffre officiel
1987;Banane_plantain;Production;tonnes;1045000;Chiffre officiel
1988;Banane_plantain;Production;tonnes;1048000;Chiffre officiel
1989;Banane_plantain;Production;tonnes;1067000;Chiffre officiel
1990;Banane_plantain;Production;tonnes;1086000;Chiffre officiel
1991;Banane_plantain;Production;tonnes;1185000;Chiffre officiel
1992;Banane_plantain;Production;tonnes;1226000;Chiffre officiel
1993;Banane_plantain;Production;tonnes;1233000;Chiffre officiel
1994;Banane_plantain;Production;tonnes;1464380;Chiffre officiel
1995;Banane_plantain;Production;tonnes;1456545;Chiffre officiel
1996;Banane_plantain;Production;tonnes;1448751;Chiffre officiel
1997;Banane_plantain;Production;tonnes;1668610;Chiffre officiel
1998;Banane_plantain;Production;tonnes;1717287;Chiffre officiel
1999;Banane_plantain;Production;tonnes;1670920;Chiffre officiel
2000;Banane_plantain;Production;tonnes;1625805;Chiffre officiel
2001;Banane_plantain;Production;tonnes;1581908;Chiffre officiel
2002;Banane_plantain;Production;tonnes;1539197;Chiffre officiel
2003;Banane_plantain;Production;tonnes;1497639;Chiffre officiel
2004;Banane_plantain;Production;tonnes;1519717;Chiffre officiel
2005;Banane_plantain;Production;tonnes;1569866;Chiffre officiel
2006;Banane_plantain;Production;tonnes;1540039;Chiffre officiel
2007;Banane_plantain;Production;tonnes;1510778;Chiffre officiel
2008;Banane_plantain;Production;tonnes;1674693;Chiffre officiel
2009;Banane_plantain;Production;tonnes;1496673;Chiffre officiel
2010;Banane_plantain;Production;tonnes;1541573;Chiffre officiel
2011;Banane_plantain;Production;tonnes;1559207;Chiffre officiel
2012;Banane_plantain;Production;tonnes;1577043;Chiffre officiel
2013;Banane_plantain;Production;tonnes;1624354;Chiffre officiel
2014;Banane_plantain;Production;tonnes;1676775,34;Valeur imputée
2015;Banane_plantain;Production;tonnes;1739000;Chiffre officiel
2016;Banane_plantain;Production;tonnes;1809000;Chiffre officiel
2017;Banane_plantain;Production;tonnes;1862000;Chiffre officiel
2018;Banane_plantain;Production;tonnes;1955670;Chiffre officiel
2019;Banane_plantain;Production;tonnes;2029986;Chiffre officiel
2020;Banane_plantain;Production;tonnes;2082812;Chiffre officiel
2021;Banane_plantain;Production;tonnes;2030593;Chiffre officiel
2022;Banane_plantain;Production;tonnes;2113309,21;Valeur imputée
